序号,省份,x1,x2,x3,x4,x5,x6,x7,fac1_1,fac2_1,fac3_1
1,北京,6886.3,14835,2827.2,582.1,101.5,99.7,5974,.124177862025657,-.90139835846787,.899104375633718
2,天津,3697.6,9484,1495.1,12593,101.5,99.9,6119.1,-1.06174126770164,-.0520992390187601,2.98236036369131
3,河北,10096.1,4311,4139.7,5068.1,101.8,101.1,10194.4,.350133515229715,.577720356198249,.347251860963527
4,山西,4179.5,4172,1826.6,1690.9,102.3,100.3,4173.9,-.472843128285053,.546731393049782,-.0490465660255718
5,内蒙古,3895.6,4620,2643.6,1437.1,102.4,101.5,2327.5,-.54344975097798,1.44592203827567,-.0395170784849793
6,辽宁,8009,6449,4200.4,3350.5,101.4,100.1,9140.6,.439679373179913,-.631639336937037,.16800551956305
7,吉林,3620.3,5135,1741.1,605.9,101.5,101.1,3551.7,-.427958442079061,.174837756156393,-.348358330360661
8,黑龙江,5511.5,4822,1737.3,1167.4,101.2,100.4,3955.7,-.204847055754814,-.607977435265351,-.387921186308282
9,上海,9154.2,18396,3509.7,12128.1,101,99.4,14594.2,.0770195587049578,-1.16088626778307,3.77419516348267
10,江苏,18305.7,7163,8165.4,2993.2,102.1,100.3,29476.7,2.51199597706794,-.0907449799155096,-.105102641386657
11,浙江,13437.9,9701,6520.1,3417,101.3,100.9,21227.2,1.59980826831674,-.398964085985223,.358042580622639
12,安徽,5375.2,3888,2525.1,1566.1,101.4,100.6,4236.4,-.135095952539232,-.260817608650582,-.427920601589314
13,福建,6568.9,6793,2316.7,1573.1,102.2,100.6,7516.1,-.12256779781815,.574950976470016,.201821935242662
14,江西,4056.8,3821,2176.6,885.2,101.7,100.9,2736.7,-.378187757104044,.263751143943048,-.455887485533996
15,山东,18516.9,5899,9307.3,551,101.7,100.6,24678.5,2.73852100842803,-.449827314277742,-1.01016832806403
16,河南,10587.4,4092,4311.6,2352.5,102.1,101.7,9236.8,.442173437105987,1.173446320414,-.220973760509128
17,湖北,6520.1,4883,2676.6,1415.7,102.9,102.1,5329.2,-.388843800622799,2.36750591064526,.0932019702088119
18,湖南,6511.3,4894,2629.1,1628.6,102.3,102.3,4341.9,-.36891752661663,1.87350105680774,-.0128930960082162
19,广东,22366.5,9821,6977.9,3860.3,102.3,101.8,31519.6,2.39231909013505,1.20872848962471,.576516669059411
20,广西,4075.8,3928,1661.2,1098.3,102.4,101.1,2242.3,-.641001778339681,1.19557892845555,-.157048191109821
21,海南,894.6,4145,367.2,448.8,101.5,100.9,429.4,-.934987253244148,.118172876862892,-.386586231412223
22,重庆,3070.5,4782,1933.2,625.5,100.8,98.7,2598.8,-.116801133759599,-2.22782672054793,-.631253190837477
23,四川,7385.1,4130,3585.2,916.6,101.7,100.6,5303.6,.213422655884449,-.0245818855865946,-.561227839533133
24,贵州,1979.1,3140,998.2,646.5,101,101.3,1546.2,-.66560578186366,-.171174765479794,-.682156155716441
25,云南,3472.9,3749,1777.6,680.6,101.4,100.1,244.1,-.44592355008439,-.585272624232782,-.5637924238664
26,西藏,251.2,3019,181.4,40.7,101.5,100.8,24.9,-.979796763865195,.0454827157174235,-.620645750216538
27,陕西,3675.7,3594,1882.2,1028.8,101.2,100.1,3150.8,-.282616707117938,-.810130660763559,-.584443876499831
28,甘肃,1934,3453,870.4,983.2,101.7,99.9,1695.8,-.694212561071024,-.351174376922843,-.380545648221672
29,青海,543.3,3888,329.8,147.1,100.8,100.7,388.1,-.805472127947735,-.79113953685047,-.682333837655786
30,宁夏,606.1,4413,443.3,255.2,101.5,100.4,605.2,-.874828107670718,-.239750266113265,-.402035762387047
31,新疆,2604.2,3847,1339.1,806.6,100.7,99.4,1656,-.343552501615048,-1.81092449982166,-.690642456740473
